Reference,Habitat,Habitat2,Habitat_Type,Species,Species2,Response_Type_Communication-Behavior-Reproduction-Physiology,Song_Frequency_Low_Hz,Song_Frequency_High_Hz,Song_Loudness_low_dB,Song_Loudness_high_dB,Distance_meters_avg,Distance_meters,Independent_Variable_Standardized,Independent_Variable_more,Dependent_Variable,Dependent_Variable_Final,Sample_size_n, Effect size_numerical value,Mean,Standard_deviation,Standard_Error,High_Confidence_Interval,Low_Confidence_Interval (CI),R-square,t-value,Cohens d value_equations,"Effect Size Type - cohens_d
hedges_g
r
log_odds_ratio

or others....",Cohens d value
"JuÃ¡rez et al., 2021, Ibis, 163, 52-64",Urban gradient,Urban city,Urban,House Wren (Troglodytes aedon),Wren,Communication,800,5000,NA,NA,10,Average 10 m (range 8-12 m),Noise,,Frequency,Song Frequency/Duration,29,-1.15,58,NA,NA,NA,NA,NA,NA,-2.3,F,-2.3
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,1 km x 1 km sample plots,Environmental,,Trials to Criterion,Effect on Bird,79,-1.043,NA,NA,0.475,-1.974,-0.112,NA,NA,-2.086,Estimate,-2.086
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Red-breasted Nuthatch (Sitta canadensis),Nuthatch,Behavior,2000,9000,NA,NA,300,>300 m between points,Noise,,Number of birds approaching the platform,Abundance,113,-0.69,NA,NA,0.19,-0.89,-0.22,NA,-3.63,-1.90657936,Beta coefficient,-1.90657936
"Arroyo-Solís A, Castillo JM, Figueroa E, López-Sánchez JL, Slabbekoorn H. 2013. Journal of Avian Biology",Urban streets,Urban city,Urban,Spotless Starling (Sturnus unicolor),Starling,Communication,NA,NA,NA,NA,100,100 m transects,Control and Noise,,Proportion Response,Effect on Bird,7,-3.897,NA,NA,NA,NA,NA,NA,-3.897,-1.472927551,t,-1.472927551
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Western Tanager (Piranga ludoviciana),Tanager,Behavior,2000 ,5000 ,NA,NA,300,>300 m between points,Noise,,Number of birds approaching the platform,Abundance,113,-0.56,NA,NA,0.27,-1.09,-0.02,NA,-2.05,-1.351852739,Beta coefficient,-1.351852739
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Western tanager,Tanager,Behavior,NA,NA,NA,NA,NA,NA,Noise,Multiple,Probability of occurrence,Abundance,113,-0.56,NA,NA,0.27,-0.02,-1.09,NA,NA,-1.351852739,Beta coefficient,-1.351852739
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Red-breasted nuthatch,Nuthatch,Behavior,NA,NA,NA,NA,NA,NA,Noise,Multiple,Approach latency,Abundance,113,-0.55,NA,NA,0.17,-0.22,-0.89,NA,NA,-1.317105548,Beta coefficient,-1.317105548
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,Nest sites vs. random sites,Environmental,,Song latency,Song Frequency/Duration,18,-5.19,42.6,3.2,NA,NA,NA,NA,-5.19,-1.223294731,t,-1.223294731
"Arroyo-Solís A, Castillo JM, Figueroa E, López-Sánchez JL, Slabbekoorn H. 2013. Journal of Avian Biology",Urban streets,Urban city,Urban,House Sparrow (Passer domesticus),Sparrow,Communication,NA,NA,NA,NA,100,100 m transects,Control and Noise,,Proportion Response,Effect on Bird,12,-3.484,NA,NA,NA,NA,NA,NA,-3.484,-1.005744169,t,-1.005744169
"FrÃ¶hlich A, Ciach M. 2017. Ibis 160:634-646",Urban environment,Urban green spaces,Mixed,Tawny Owl (Strix aluco),Owl,Behavior,NA,NA,NA,NA,300,300 m between playback points,Environmental,Woodpatch,Frequency,Song Frequency/Duration,23,-4.11,136.8,190.7,NA,NA,NA,NA,-4.11,-0.8569942418,t,-0.8569942418
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Least flycatcher,Flycatcher,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Grassland perimeter-to-area ratio (GRASSLAND_GEOMETRY),Abundance,113,-0.39,NA,NA,0.27,0.14,-0.92,NA,NA,-0.8470758204,Beta coefficient,-0.8470758204
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Avoiders (e.g., Leistes loyca)",,Behavior,NA,NA,NA,NA,NA,NA,Noise,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.37,NA,NA,NA,NA,NA,NA,NA,-0.7965282099,r,-0.7965282099
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Species richness,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Probability of occurrence (occupied vs unoccupied territory),Abundance,113,-0.37,NA,NA,0.24,0.1,-0.84,NA,NA,-0.7965282099,Beta coefficient,-0.7965282099
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Dwellers (e.g., Turdus falcklandii)",,Behavior,NA,NA,NA,NA,NA,NA,Noise,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.36,NA,NA,NA,NA,NA,NA,NA,-0.7717436331,r,-0.7717436331
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Avoiders (e.g., Leistes loyca)",,Behavior,NA,NA,NA,NA,NA,NA,Noise,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.35,NA,NA,NA,NA,NA,NA,NA,-0.7472647178,r,-0.7472647178
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Dwellers (e.g., Turdus falcklandii)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.35,NA,NA,NA,NA,NA,NA,NA,-0.7472647178,r,-0.7472647178
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Species richness,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Probability of occurrence (occupied vs unoccupied territory),Abundance,113,-0.33,NA,NA,0.65,0.94,-1.6,NA,NA,-0.6991666649,Beta coefficient,-0.6991666649
"FrÃ¶hlich A, Ciach M. 2017. Ibis 160:634-646",Urban environment,Urban green spaces,Mixed,Tawny Owl (Strix aluco),Owl,Behavior,NA,NA,NA,NA,300,300 m between playback points,Environmental,Forest,Number of syllables (per song),Song Frequency/Duration,23,-3.23,14.2,12.4,NA,NA,NA,NA,-3.23,-0.6735015574,t,-0.6735015574
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Utilizers (e.g., Columbina picui, Sephanoides sephaniodes)",,Behavior,NA,NA,NA,NA,NA,NA,Noise,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.31,NA,NA,NA,NA,NA,NA,NA,-0.6521259709,r,-0.6521259709
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Utilizers (e.g., Columbina picui, Sephanoides sephaniodes)",,Behavior,NA,NA,NA,NA,NA,NA,Noise,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.29,NA,NA,NA,NA,NA,NA,NA,-0.6060437322,r,-0.6060437322
"Wood WE, Yezerinac SM. 2006. The Auk 123(3):650-659",Urban environments,Urban green spaces,Urban,Song Sparrow (Melospiza melodia),Sparrow,Communication,1140,9280,NA,NA,10,â‰¤10 m (microphone to singing perch),Noise,,Abundance/Richness,Song Frequency/Duration,28,-0.29,NA,NA,NA,NA,NA,NA,NA,-0.6060437322,r,-0.6060437322
"Deoniziak K, Osiejuk TS. 2021. PLOS ONE. https://doi.org/10.1371/journal.pone.0257074",Urban green spaces and nonurban forests,Urban green spaces,Urban,Willow Warbler (Phylloscopus trochilus),Warbler,Communication,3000 ,6000 ,NA,NA,12.5,10-15 m,Mating,"Day in season, hour after sunrise",Frequency,Song Frequency/Duration,41,-0.2797,NA,NA,0.6614,-1.576,1.017,NA,NA,-0.5826552576,Model-averaged estimate,-0.5826552576
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Utilizers (e.g., Columbina picui, Sephanoides sephaniodes)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.27,NA,NA,NA,NA,NA,NA,NA,-0.5608290087,r,-0.5608290087
"Bermúdez-Cuamatzin, Eira; Ríos-Chelén, Alejandro Ariel; Gil, Diego; Macías Garcia, Constantino. Behaviour 146, 1269-1286 (2009)",Urban environments in Mexico City,Urban city,Urban,House Finch (Carpodacus mexicanus),Finch,Communication,2221,5873,NA,NA,7.5,5-10 m distance between recorder and singing male,Noise,,A-song Bandwidth - Construction ,Song Frequency/Duration,35,-0.27,2.02,NA,0.1,NA,NA,0.0729,NA,-0.5608290087,r,-0.5608290087
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Utilizers (e.g., Columbina picui, Sephanoides sephaniodes)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.25,NA,NA,NA,NA,NA,NA,NA,-0.5163977795,r,-0.5163977795
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Avoiders (e.g., Leistes loyca)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.25,NA,NA,NA,NA,NA,NA,NA,-0.5163977795,r,-0.5163977795
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Avoiders (e.g., Leistes loyca)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.25,NA,NA,NA,NA,NA,NA,NA,-0.5163977795,r,-0.5163977795
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Dwellers (e.g., Turdus falcklandii)",,Behavior,NA,NA,NA,NA,NA,NA,Noise,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.24,NA,NA,NA,NA,NA,NA,NA,-0.4944513861,r,-0.4944513861
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Dwellers (e.g., Turdus falcklandii)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.24,NA,NA,NA,NA,NA,NA,NA,-0.4944513861,r,-0.4944513861
"Arroyo-Solís A, Castillo JM, Figueroa E, López-Sánchez JL, Slabbekoorn H. 2013. Journal of Avian Biology",Urban streets,Urban city,Urban,Eurasian Collared Dove (Streptopelia decaocto),Dove,Communication,NA,NA,NA,NA,100,100 m transects,Control and Noise,,Aggression score,Effect on Bird,11,-1.611,NA,NA,NA,NA,NA,NA,-1.611,-0.4857347761,t,-0.4857347761
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,Nest sites vs. random sites,Environmental,,Productivity (number of fledglings),Song Frequency/Duration,18,-1.98,0.04,0.03,NA,NA,NA,NA,-1.98,-0.4666904756,t,-0.4666904756
Önsal et al. 2022,Urban,Urban green spaces,Urban,European robin (Erithacus rubecula),Robin,Behavior,NA,NA,NA,NA,NA,Song rate,Noise,Habitat type,Frequency,Noise,9,-1.23,49,7.1,NA,NA,NA,NA,-1.23,-0.41,t,-0.41
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Utilizers (e.g., Columbina picui, Sephanoides sephaniodes)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.2,NA,NA,NA,NA,NA,NA,NA,-0.4082482905,r,-0.4082482905
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Species richness,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Probability of occurrence (occupied vs unoccupied territory),Abundance,113,-0.2,NA,NA,0.44,0.67,-1.07,NA,NA,-0.4082482905,Beta coefficient,-0.4082482905
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Least flycatcher,Flycatcher,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Distance to pedestrian route (PAVEMENT),Abundance,113,-0.2,NA,NA,0.17,0.13,-0.52,NA,NA,-0.4082482905,Beta coefficient,-0.4082482905
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Red-breasted nuthatch,Nuthatch,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Attack latency,Abundance,113,-0.19,NA,NA,0.4,0.59,-0.97,NA,NA,-0.3870504765,Beta coefficient,-0.3870504765
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Utilizers (e.g., Columbina picui, Sephanoides sephaniodes)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.18,NA,NA,NA,NA,NA,NA,NA,-0.3659776557,r,-0.3659776557
Önsal et al. 2022,Rural,Rural,Rural,European robin (Erithacus rubecula),Robin,Behavior,NA,NA,NA,NA,NA,Closest approach distance,Noise,Habitat type,Syllable rate,Noise,12,-1.23,NA,NA,NA,NA,NA,NA,-1.23,-0.3550704156,t,-0.3550704156
"FrÃ¶hlich A, Ciach M. 2017. Ibis 160:634-646",Urban environment,Urban green spaces,Mixed,Tawny Owl (Strix aluco),Owl,Behavior,NA,NA,NA,NA,300,300 m between playback points,Environmental,Garden,Frequency,Song Frequency/Duration,23,-1.59,23.2,19.2,NA,NA,NA,NA,-1.59,-0.3315379184,t,-0.3315379184
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Utilizers (e.g., Columbina picui, Sephanoides sephaniodes)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.14,NA,NA,NA,NA,NA,NA,NA,-0.2827850071,r,-0.2827850071
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Least flycatcher,Flycatcher,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Distance to road (ROAD),Abundance,113,-0.14,NA,NA,0.19,0.23,-0.51,NA,NA,-0.2827850071,Beta coefficient,-0.2827850071
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Dwellers (e.g., Turdus falcklandii)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.13,NA,NA,NA,NA,NA,NA,NA,-0.262225245,r,-0.262225245
"FrÃ¶hlich A, Ciach M. 2017. Ibis 160:634-646",Urban environment,Urban green spaces,Mixed,Tawny Owl (Strix aluco),Owl,Behavior,NA,NA,NA,NA,300,300 m between playback points,Environmental,Park,Song duration (ms),Song Frequency/Duration,23,-1.09,6.4,10.2,NA,NA,NA,NA,-1.09,-0.2272807113,t,-0.2272807113
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Avoiders (e.g., Leistes loyca)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.1,NA,NA,NA,NA,NA,NA,NA,-0.2010075631,r,-0.2010075631
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Dwellers (e.g., Turdus falcklandii)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.09,NA,NA,NA,NA,NA,NA,NA,-0.1807334588,r,-0.1807334588
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Utilizers (e.g., Columbina picui, Sephanoides sephaniodes)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.09,NA,NA,NA,NA,NA,NA,NA,-0.1807334588,r,-0.1807334588
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Avoiders (e.g., Leistes loyca)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.07,NA,NA,NA,NA,NA,NA,NA,-0.1403442657,r,-0.1403442657
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Avoiders (e.g., Leistes loyca)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.06,NA,NA,NA,NA,NA,NA,NA,-0.120216585,r,-0.120216585
"Arroyo-Solís A, Castillo JM, Figueroa E, López-Sánchez JL, Slabbekoorn H. 2013. Journal of Avian Biology",Urban streets,Urban city,Urban,Serin (Serinus serinus),Serin,Communication,NA,NA,NA,NA,100,100 m transects,Control and Noise,,Song Rates,Effect on Bird,6,-0.275,NA,NA,NA,NA,NA,NA,-0.275,-0.1122682799,t,-0.1122682799
"Kleist NJ, Guralnick RP, Cruz A, Francis CD. 2016. Ecosphere",PiÃ±on-juniper woodlands with natural gas extraction activity,Woodland,Rural,Spotted Towhee (Pipilo maculatus),Towhee,Communication,2078.67,7855.327,NA,NA,17,17 m,Noise,Species identity,Peak frequency of lowest-pitched syllable type,Song Frequency/Duration,19,-0.051,33.68 s,NA,0.02,NA,NA,NA,NA,-0.1021329103,Beta coefficient,-0.1021329103
"Kleist NJ, Guralnick RP, Cruz A, Francis CD. 2016. Ecosphere",PiÃ±on-juniper woodlands with natural gas extraction activity,Woodland,Rural,Chipping Sparrow (Spizella passerina),Sparrow,Communication,3182.83,6745.59,NA,NA,17,17 m,Noise,Species identity,Peak frequency of highest-pitched syllable type,Song Frequency/Duration,12,-0.051,42.75 s,NA,0.02,NA,NA,NA,NA,-0.1021329103,Beta coefficient,-0.1021329103
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Avoiders (e.g., Leistes loyca)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.05,NA,NA,NA,NA,NA,NA,NA,-0.1001252349,r,-0.1001252349
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Dwellers (e.g., Turdus falcklandii)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.05,NA,NA,NA,NA,NA,NA,NA,-0.1001252349,r,-0.1001252349
"Wood WE, Yezerinac SM. 2006. The Auk 123(3):650-659",Urban environments,Urban green spaces,Urban,Song Sparrow (Melospiza melodia),Sparrow,Communication,1140,9280,NA,NA,10,â‰¤10 m (microphone to singing perch),Noise,,Abundance/Richness,Song Frequency/Duration,28,-0.045,NA,NA,NA,NA,NA,NA,NA,-0.09009126363,r,-0.09009126363
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Red-breasted nuthatch,Nuthatch,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Attack latency,Abundance,113,-0.04,NA,NA,0.24,0.42,-0.51,NA,NA,-0.0800640769,Beta coefficient,-0.0800640769
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Dwellers (e.g., Turdus falcklandii)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.03,NA,NA,NA,NA,NA,NA,NA,-0.06002701824,r,-0.06002701824
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Avoiders (e.g., Leistes loyca)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.03,NA,NA,NA,NA,NA,NA,NA,-0.06002701824,r,-0.06002701824
"Walters MJ, Guralnick RP, Kleist NJ, Robinson SK. 2019. The Condor","Urban environments in Gainesville, Florida",Urban green spaces,Urban,Northern Mockingbird (Mimus polyglottos),Mockingbird,Communication,NA,NA,NA,NA,15,15 m,Noise,"Perching height, Time of day",Abundance/Richness,Song Frequency/Duration,22,-0.03,NA,NA,NA,-0.05,-0.01,0.13-0.24,NA,-0.06002701824,Beta coefficient,-0.06002701824
"FrÃ¶hlich A, Ciach M. 2017. Ibis 160:634-646",Urban environment,Urban green spaces,Mixed,Tawny Owl (Strix aluco),Owl,Behavior,NA,NA,NA,NA,300,300 m between playback points,Environmental,habitat_divers,Frequency,Song Frequency/Duration,23,-0.24,1.5,0.3,NA,NA,NA,NA,-0.24,-0.05004345937,t,-0.05004345937
"Arroyo-Solís A, Castillo JM, Figueroa E, López-Sánchez JL, Slabbekoorn H. 2013. Journal of Avian Biology",Urban streets,Urban city,Urban,Goldfinch (Carduelis carduelis),Finch,Communication,NA,NA,NA,NA,100,100 m transects,Control and Noise,,Song Rates,Effect on Bird,12,-0.173,NA,NA,NA,NA,NA,NA,-0.173,-0.04994079828,t,-0.04994079828
